N,Time_s,Jvibration,ResonanceFrequencyHz,BandEnergyX,BandEnergyY,BandEnergyTotal,PairedNoSuppressionBandEnergy,ReductionVsPairedNoSuppression_percent,ParetoOptimal,Feasible
576,0.576,4.83374321325751,10,0.414373545569193,0.197118131569469,0.611491677138662,0.643700486510521,5.00369504868034,1,1
577,0.577,4.35911580667777,10,0.36663451587595,0.173252838436275,0.539887354312226,0.624448139758488,13.5416826574209,1,1
578,0.578,4.23127340693396,10,0.372287133893546,0.149378258026329,0.521665391919875,0.625305009880488,16.5742503774951,1,1
579,0.579,4.10989221132806,10,0.377573947927653,0.12771101814865,0.505284966076303,0.627987464254465,19.5390043850369,1,1
580,0.58,3.99491438978549,10,0.382601644257638,0.107882673633069,0.490484317890707,0.632993130318882,22.5134848393036,1,1
581,0.581,3.88729482321328,10,0.387758630318485,0.0906659245288622,0.478424554847347,0.639851428124308,25.2288056541775,1,1
582,0.582,3.76643415965451,10,0.37417280996129,0.0893673028882803,0.46354011284957,0.64618833714314,28.2654783125729,1,1
583,0.583,3.67242220987299,10,0.378785550995091,0.0741171443940763,0.452902695389167,0.651236373953997,30.4549448552209,1,1
584,0.584,3.56285140883538,10,0.364950358557594,0.0738232813347091,0.438773639892303,0.656053769596358,33.1192563435369,1,1
585,0.585,3.48563161417053,10,0.36995503812155,0.0609065151500551,0.430861553271605,0.659941349164954,34.7121446751612,1,1
586,0.586,3.39405268277538,10,0.356839006284896,0.0620435127507207,0.418882519035617,0.663462156125449,36.864142865081,1,1
587,0.587,3.32217552265727,10,0.36107001775438,0.0507123519749271,0.411782369729307,0.665275905445643,38.1035197038333,1,1
